date,time,matchup,1top,1bot,2top,2bot,3top,3bot,4top,4bot,5top,5bot,visiting_total,home_total,Umpires,Venue,visiting_pitcher,home_pitcher,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9
2019-07-13,18:8,SEA@LAA,0,0,0,2,0,3,0,1,0,0,0,6,CB Bucknor,Angel Stadium of Anaheim,Wade LeBlanc,Matt Harvey,Mallex Smith,J.P. Crawford,Domingo Santana,Daniel Vogelbach,Omar Narvaez,Kyle Seager,Tim Beckham,Dylan Moore,Dee Gordon,David Fletcher,Mike Trout,Shohei Ohtani,Justin Upton,Andrelton Simmons,Albert Pujols,Kole Calhoun,Kevan Smith,Luis Rengifo
2019-07-13,13:7,TB@BAL,0,0,0,0,1,0,0,0,0,0,1,0,Manny Gonzalez,Oriole Park at Camden Yards,Brendan McKay,Aaron Brooks,Austin Meadows,Tommy Pham,Kevin Kiermaier,Yandy Diaz,Nate Lowe,Mike Brosseau,Ji-Man Choi,Joey Wendle,Mike Zunino,Hanser Alberto,Trey Mancini,Renato Nunez,Pedro Severino,Jonathan Villar,Anthony Santander,Keon Broxton,Stevie Wilkerson,Richie Martin
2019-07-13,19:6,TB@BAL,0,0,2,0,0,0,1,2,0,0,3,2,Jim Wolf,Oriole Park at Camden Yards,Charlie Morton,John Means,Guillermo Heredia,Tommy Pham,Travis d'Arnaud,Yandy Diaz,Avisail Garcia,Nate Lowe,Mike Brosseau,Willy Adames,Joey Wendle,Jonathan Villar,Dwight Smith Jr.,Anthony Santander,Chance Sisco,Renato Nunez,Chris Davis,Stevie Wilkerson,Rio Ruiz,Hanser Alberto
2019-07-13,19:18,LAD@BOS,1,0,0,0,1,0,0,1,3,0,5,1,Brennan Miller,Fenway Park,Ross Stripling,Chris Sale,Chris Taylor,Justin Turner,David Freese,Cody Bellinger,A.J. Pollock,Max Muncy,Corey Seager,Enrique Hernandez,Austin Barnes,Mookie Betts,Rafael Devers,Xander Bogaerts,J.D. Martinez,Andrew Benintendi,Christian Vazquez,Brock Holt,Sandy Leon,Jackie Bradley Jr.
2019-07-13,13:22,PIT@CHC,0,7,0,0,0,1,0,2,1,0,1,10,Nic Lentz,Wrigley Field,Jordan Lyles,Jon Lester,Kevin Newman,Bryan Reynolds,Starling Marte,Josh Bell,Melky Cabrera,Jose Osuna,Jung Ho Kang,Elias Diaz,Jordan Lyles,Kyle Schwarber,Javier Baez,Kris Bryant,Anthony Rizzo,Willson Contreras,Jason Heyward,Addison Russell,Albert Almora,Jon Lester
2019-07-13,19:10,MIN@CLE,1,0,2,1,0,0,0,0,0,0,3,1,Gabe Morales,Progressive Field,Jake Odorizzi,Trevor Bauer,Max Kepler,Jorge Polanco,Nelson Cruz,Marwin Gonzalez,Luis Arraez,Jonathan Schoop,Jason Castro,Jake Cave,Byron Buxton,Francisco Lindor,Oscar Mercado,Carlos Santana,Jason Kipnis,Jose Ramirez,Bobby Bradley,Jake Bauers,Roberto Perez,Greg Allen
2019-07-13,21:18,CIN@COL,0,4,2,0,2,1,1,0,0,2,5,7,James Hoye,Coors Field,Tanner Roark,Kyle Freeland,Nick Senzel,Joey Votto,Eugenio Suarez,Yasiel Puig,Phil Ervin,Jose Iglesias,Jose Peraza,Curt Casali,Tanner Roark,Charlie Blackmon,Trevor Story,David Dahl,Nolan Arenado,Daniel Murphy,Raimel Tapia,Ryan McMahon,Chris Iannetta,Kyle Freeland
2019-07-13,18:16,DET@KC,0,0,1,0,0,0,0,0,0,2,1,2,Adrian Johnson,Kauffman Stadium,Matthew Boyd,Brad Keller,Victor Reyes,Nicholas Castellanos,Miguel Cabrera,Christin Stewart,Brandon Dixon,Jeimer Candelario,Harold Castro,Bobby Wilson,Jordy Mercer,Whit Merrifield,Adalberto Mondesi,Alex Gordon,Hunter Dozier,Jorge Soler,Cheslor Cuthbert,Bubba Starling,Nicky Lopez,Martin Maldonado
2019-07-13,18:10,NYM@MIA,0,0,0,0,2,0,0,2,0,0,2,2,Jansen Visconti,Marlins Park,Noah Syndergaard,Zac Gallen,Jeff McNeil,Michael Conforto,Pete Alonso,Dominic Smith,Robinson Cano,Todd Frazier,Amed Rosario,Tomas Nido,Noah Syndergaard,Miguel Rojas,Garrett Cooper,Brian Anderson,Neil Walker,Starlin Castro,Harold Ramirez,Jorge Alfaro,JT Riddle,Zac Gallen
2019-07-13,18:15,SF@MIL,1,0,0,0,0,0,0,0,0,1,1,1,Ben May,Miller Park,Madison Bumgarner,Zach Davies,Brandon Belt,Buster Posey,Pablo Sandoval,Evan Longoria,Mike Yastrzemski,Kevin Pillar,Brandon Crawford,Joe Panik,Madison Bumgarner,Lorenzo Cain,Christian Yelich,Ryan Braun,Mike Moustakas,Jesus Aguilar,Keston Hiura,Manny Pina,Tyler Saladino,Zach Davies
