date,time,matchup,1top,1bot,2top,2bot,3top,3bot,4top,4bot,5top,5bot,away_total,home_total,Umpires,Venue,away_pitcher,home_pitcher,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9
2019-07-17,19:9,HOU@LAA,3,0,2,0,1,0,0,0,5,1,11,1,Mark Wegner,Angel Stadium of Anaheim,Gerrit Cole,Felix Pena,George Springer,Jose Altuve,Alex Bregman,Michael Brantley,Yuli Gurriel,Josh Reddick,Robinson Chirinos,Tyler White,Jake Marisnick,David Fletcher,Andrelton Simmons,Shohei Ohtani,Justin Upton,Kole Calhoun,Brian Goodwin,Luis Rengifo,Matt Thaiss,Dustin Garneau
2019-07-17,20:37,WSH@BAL,0,0,0,0,1,0,0,1,1,0,2,1,Mike Estabrook,Oriole Park at Camden Yards,Erick Fedde,Aaron Brooks,Trea Turner,Adam Eaton,Anthony Rendon,Juan Soto,Howie Kendrick,Matt Adams,Brian Dozier,Victor Robles,Yan Gomes,Jonathan Villar,Trey Mancini,Chance Sisco,Renato Nunez,Anthony Santander,Chris Davis,Stevie Wilkerson,Rio Ruiz,Richie Martin
2019-07-17,19:43,TOR@BOS,0,0,0,1,1,1,0,2,1,0,2,4,Lance Barrett,Fenway Park,Aaron Sanchez,Eduardo Rodriguez,Eric Sogard,Vladimir Guerrero Jr.,Lourdes Gurriel Jr.,Randal Grichuk,Cavan Biggio,Justin Smoak,Freddy Galvis,Teoscar Hernandez,Luke Maile,Mookie Betts,Rafael Devers,Xander Bogaerts,J.D. Martinez,Andrew Benintendi,Michael Chavis,Jackie Bradley Jr.,Christian Vazquez,Brock Holt
2019-07-17,13:20,CIN@CHC,0,1,0,1,0,0,0,0,0,0,0,2,Jim Wolf,Wrigley Field,Sonny Gray,Yu Darvish,Nick Senzel,Joey Votto,Eugenio Suarez,Yasiel Puig,Derek Dietrich,Scooter Gennett,Jose Iglesias,Juan Graterol,Sonny Gray,Albert Almora,Javier Baez,Kris Bryant,Anthony Rizzo,Victor Caratini,Jason Heyward,Addison Russell,David Bote,Yu Darvish
2019-07-17,19:10,DET@CLE,0,0,0,0,0,2,0,0,0,0,0,2,Ben May,Progressive Field,Spencer Turnbull,Mike Clevinger,Victor Reyes,Harold Castro,Miguel Cabrera,Nicholas Castellanos,Christin Stewart,Jeimer Candelario,Brandon Dixon,John Hicks,Gordon Beckham,Francisco Lindor,Oscar Mercado,Carlos Santana,Jason Kipnis,Jose Ramirez,Jake Bauers,Roberto Perez,Mike Freeman,Tyler Naquin
2019-07-17,13:11,SF@COL,3,0,0,2,0,0,0,2,2,1,5,5,Larry Vanover,Coors Field,Shaun Anderson,Jon Gray,Brandon Belt,Austin Slater,Pablo Sandoval,Stephen Vogt,Mike Yastrzemski,Kevin Pillar,Joe Panik,Donovan Solano,Shaun Anderson,Charlie Blackmon,Trevor Story,David Dahl,Nolan Arenado,Daniel Murphy,Raimel Tapia,Ryan McMahon,Tony Wolters,Jon Gray
2019-07-17,19:15,CWS@KC,0,2,0,0,0,0,0,0,0,4,0,6,John Libka,Kauffman Stadium,Ivan Nova,Danny Duffy,Leury Garcia,Yoan Moncada,Jose Abreu,James McCann,Jon Jay,Welington Castillo,Ryan Cordell,Yolmer Sanchez,Ryan Goins,Whit Merrifield,Cheslor Cuthbert,Alex Gordon,Hunter Dozier,Jorge Soler,Nicky Lopez,Bubba Starling,Lucas Duda,Meibrys Viloria
2019-07-17,19:10,SD@MIA,0,0,0,0,0,0,3,0,0,0,3,0,D.J. Reyburn,Marlins Park,Chris Paddack,Trevor Richards,Fernando Tatis Jr.,Eric Hosmer,Manny Machado,Franmil Reyes,Hunter Renfroe,Manuel Margot,Greg Garcia,Austin Hedges,Chris Paddack,Miguel Rojas,Neil Walker,Garrett Cooper,Brian Anderson,Starlin Castro,Curtis Granderson,Cesar Puello,Bryan Holaday,Trevor Richards
2019-07-17,13:11,ATL@MIL,0,0,0,2,0,0,0,0,0,0,0,2,Nic Lentz,Miller Park,Dallas Keuchel,Chase Anderson,Ronald Acuna Jr.,Dansby Swanson,Freddie Freeman,Josh Donaldson,Ozzie Albies,Brian McCann,Austin Riley,Matthew Joyce,Dallas Keuchel,Lorenzo Cain,Christian Yelich,Ryan Braun,Keston Hiura,Jesus Aguilar,Manny Pina,Orlando Arcia,Tyler Saladino,Chase Anderson
2019-07-17,12:47,NYM@MIN,0,0,0,1,1,1,1,0,0,1,2,3,Rob Drake,Target Field,Jason Vargas,Martin Perez,Jeff McNeil,J.D. Davis,Pete Alonso,Wilson Ramos,Robinson Cano,Todd Frazier,Michael Conforto,Amed Rosario,Adeiny Hechavarria,Mitch Garver,Jorge Polanco,Nelson Cruz,Eddie Rosario,C.J. Cron,Max Kepler,Marwin Gonzalez,Miguel Sano,Luis Arraez
2019-07-17,12:37,SEA@OAK,0,0,2,2,0,0,0,1,0,0,2,3,Mark Ripperger,Oakland-Alameda County Coliseum,Erik Swanson,Homer Bailey,Mallex Smith,J.P. Crawford,Domingo Santana,Omar Narvaez,Tim Beckham,Kyle Seager,Tom Murphy,Dylan Moore,Dee Gordon,Marcus Semien,Matt Chapman,Matt Olson,Mark Canha,Ramon Laureano,Khris Davis,Jurickson Profar,Chad Pinder,Josh Phegley
2019-07-17,19:7,LAD@PHI,1,0,0,0,0,0,0,0,0,0,1,0,Jansen Visconti,Citizens Bank Park,Kenta Maeda,Nick Pivetta,Joc Pederson,Max Muncy,David Freese,Cody Bellinger,A.J. Pollock,Corey Seager,Enrique Hernandez,Russell Martin,Kenta Maeda,Cesar Hernandez,Scott Kingery,Bryce Harper,Rhys Hoskins,Brad Miller,Adam Haseley,Nick Williams,Andrew Knapp,Nick Pivetta
2019-07-17,12:15,PIT@STL,1,1,0,1,0,0,3,0,0,1,4,3,Adrian Johnson,Busch Stadium III,Chris Archer,Daniel Ponce de Leon,Kevin Newman,Bryan Reynolds,Starling Marte,Jose Osuna,Melky Cabrera,Colin Moran,Jung Ho Kang,Jacob Stallings,Chris Archer,Tommy Edman,Jose Martinez,Paul Goldschmidt,Tyler O'Neill,Dexter Fowler,Paul DeJong,Yairo Munoz,Andrew Knizner,Daniel Ponce de Leon
2019-07-17,19:7,ARI@TEX,7,0,5,3,2,0,0,0,0,0,14,3,Ed Hickox,Globe Life Park in Arlington,Robbie Ray,Jesse Chavez,Jarrod Dyson,Ketel Marte,Eduardo Escobar,Christian Walker,Adam Jones,Jake Lamb,Nick Ahmed,Kevin Cron,Carson Kelly,Shin-Soo Choo,Delino DeShields,Elvis Andrus,Hunter Pence,Danny Santana,Logan Forsythe,Rougned Odor,Asdrubal Cabrera,Tim Federowicz
