date,time,matchup,1top,1bot,2top,2bot,3top,3bot,4top,4bot,5top,5bot,away_total,home_total,Umpires,Venue,away_pitcher,home_pitcher,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9
2019-07-17,19:9,HOU@LAA,3,0,2,0,1,0,0,0,5,1,11,1,Mark Wegner,Angel Stadium of Anaheim,543037,570240,543807,514888,608324,488726,493329,502210,455139,643603,545350,664058,592743,660271,457708,594777,571718,650859,642136,572863
2019-07-17,20:37,WSH@BAL,0,0,0,0,1,0,0,1,1,0,2,1,Mike Estabrook,Oriole Park at Camden Yards,607200,605156,607208,594809,543685,665742,435062,571431,572821,645302,543228,542340,641820,642082,600524,623993,448801,592859,547004,621006
2019-07-17,19:43,TOR@BOS,0,0,0,1,1,1,0,2,1,0,2,4,Lance Barrett,Fenway Park,592717,593958,519299,665489,666971,545341,624415,475253,520471,606192,571912,605141,646240,593428,502110,643217,656308,598265,543877,571788
2019-07-17,13:20,CIN@CHC,0,1,0,1,0,0,0,0,0,0,0,2,Jim Wolf,Wrigley Field,543243,506433,669222,458015,553993,624577,518618,571697,578428,492802,543243,546991,595879,592178,519203,605170,518792,608365,623520,506433
2019-07-17,19:10,DET@CLE,0,0,0,0,0,2,0,0,0,0,0,2,Ben May,Progressive Field,605513,605182,622682,605612,408234,592206,621514,600869,641525,543308,493596,596019,640458,467793,543401,542432,641343,547379,502273,571980
2019-07-17,13:11,SF@COL,3,0,0,2,0,0,0,2,2,1,5,5,Larry Vanover,Coors Field,641312,592351,474832,596103,467055,519390,573262,607680,605412,456781,641312,453568,596115,621311,571448,502517,606132,641857,547172,592351
2019-07-17,19:15,CWS@KC,0,2,0,0,0,0,0,0,0,4,0,6,John Libka,Kauffman Stadium,467100,518633,544725,660162,547989,543510,445055,456078,641477,570560,572365,593160,596144,460086,641531,624585,670032,605490,446263,650619
2019-07-17,19:10,SD@MIA,0,0,0,0,0,0,3,0,0,0,3,0,D.J. Reyburn,Marlins Park,663978,670950,665487,543333,592518,614177,592669,622534,594824,595978,663978,500743,435522,643265,605119,516770,434158,527049,592407,670950
2019-07-17,13:11,ATL@MIL,0,0,0,2,0,0,0,0,0,0,0,2,Nic Lentz,Miller Park,572971,502624,660670,621020,518692,518626,645277,435263,663586,459964,572971,456715,592885,460075,669374,542583,444489,606115,573135,502624
2019-07-17,12:47,NYM@MIN,0,0,0,1,1,1,1,0,0,1,2,3,Rob Drake,Target Field,450306,527048,643446,605204,624413,467092,429664,453943,624424,642708,588751,641598,593871,443558,592696,543068,596146,503556,593934,650333
2019-07-17,12:37,SEA@OAK,0,0,2,2,0,0,0,1,0,0,2,3,Mark Ripperger,Oakland-Alameda County Coliseum,657024,456701,605480,641487,570267,553882,542921,572122,608596,664238,543829,543760,656305,621566,592192,657656,501981,595777,640461,572033
2019-07-17,19:7,LAD@PHI,1,0,0,0,0,0,0,0,0,0,1,0,Jansen Visconti,Citizens Bank Park,628317,601713,592626,571970,501896,641355,572041,608369,571771,431145,628317,514917,664068,547180,656555,543543,656514,608384,595284,601713
2019-07-17,12:15,PIT@STL,1,1,0,1,0,0,3,0,0,1,4,3,Adrian Johnson,Busch Stadium III,502042,594965,621028,668804,516782,591741,466320,592567,628356,607732,502042,669242,500874,502671,641933,451594,657557,622168,668800,594965
2019-07-17,19:7,ARI@TEX,7,0,5,3,2,0,0,0,0,0,14,3,Ed Hickox,Globe Life Park in Arlington,592662,445926,502481,606466,500871,572233,430945,571875,605113,605196,608348,425783,592261,462101,452254,542454,523253,596059,452678,543148
