date,time,matchup,1top,1bot,2top,2bot,3top,3bot,4top,4bot,5top,5bot,away_total,home_total,Umpires,Venue,away_pitcher,home_pitcher,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9
2020-07-25,09:19:38,MIL@CHC,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Wrigley Field,669203,506433,519299,592885,669374,475253,541645,553882,456715,592325,606115,592178,519203,595879,656941,575929,518792,605170,543401,664023
2020-07-25,09:19:38,BAL@BOS,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Fenway Park,502171,527048,669720,593643,578428,623993,600524,600474,448801,642162,656775,643217,502110,646240,519048,606299,657077,598265,608700,624407
2020-07-25,09:19:38,MIN@CWS,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Guaranteed Rate Field,677976,572971,641598,518626,443558,593871,593934,592696,503556,596146,501303,641313,660162,547989,429665,650391,547170,673357,543510,544725
2020-07-25,09:19:38,PIT@STL,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Busch Stadium,592866,425794,621028,668804,624428,605137,592567,595943,628338,571974,657061,543939,669242,502671,657557,572761,425877,451594,641933,664056
2020-07-25,09:19:38,TOR@TB,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Tropicana Field,533167,642232,666182,624415,666971,665489,543768,545341,606192,624512,669289,596847,664040,650490,660294,621563,622534,595281,642715,605421
2020-07-25,09:19:38,MIA@PHI,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Citizens Bank Park,592761,554430,542340,542583,572816,623912,605119,643265,500743,595453,542932,457705,656555,547180,592663,516416,544369,664068,594838,596451
2020-07-25,09:19:38,COL@TEX,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Globe Life Field,592351,501985,621311,596115,571448,453568,461314,641857,572008,641658,460077,425783,462101,542454,608336,596059,453943,641432,608597,425772
2020-07-25,09:19:38,ATL@NYM,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Citi Field,608331,571927,660670,645277,518692,542303,594807,621020,622666,663586,656577,643446,605204,624413,493316,429664,467092,624424,642708,607043
2020-07-25,09:19:38,LAA@OAK,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Oakland Coliseum,605164,640455,664058,545361,457708,405395,621493,600303,641684,545358,592743,543760,657656,656305,621566,501981,572039,543257,640461,664119
2020-07-25,09:19:38,SEA@HOU,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Minute Maid Park,592836,621121,643418,657108,572122,641786,543592,596129,543829,641487,605480,543807,514888,608324,488726,493329,621043,502210,663656,455117
2020-07-25,09:19:38,SF@LAD,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Dodger Stadium,657277,622072,596103,456781,527038,573131,452254,573262,664041,643289,623168,571970,605141,641355,457759,608369,621035,592626,571771,605131
2020-07-25,09:19:38,KC@CLE,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Progressive Field,663903,605182,593160,609275,624585,521692,460086,643436,596748,670032,605490,514917,608070,596019,467793,614177,669288,640458,547379,605548
2020-07-25,09:19:38,DET@CIN,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Great American Ball Park,467100,622491,592348,570731,408234,543068,621514,600869,457727,519222,592444,608385,458015,553993,519058,592206,673451,669222,520471,592200
2020-07-25,09:19:38,NYY@WSH,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Nationals Park,572020,607200,518934,592450,650402,519317,543305,572228,596142,570482,458731,607208,594809,516770,435062,452678,435559,666198,645302,572191
2020-07-25,09:19:38,ARI@SD,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Petco Park,592662,659275,606466,444482,516782,500871,572233,594777,519390,571875,605113,665487,592518,502054,595777,664034,571976,658668,595978,663757
2020-07-25,06:21:06,MIL@CHC,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Wrigley Field,669203,506433,519299,592885,669374,475253,541645,553882,456715,592325,606115,592178,519203,595879,656941,575929,518792,605170,543401,664023
2020-07-25,06:21:06,MIL@CHC,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Wrigley Field,669203,506433,519299,592885,669374,475253,541645,553882,456715,592325,606115,592178,519203,595879,656941,575929,518792,605170,543401,664023
2020-07-25,06:21:06,MIL@CHC,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Wrigley Field,669203,506433,519299,592885,669374,475253,541645,553882,456715,592325,606115,592178,519203,595879,656941,575929,518792,605170,543401,664023
2020-07-25,06:21:06,MIL@CHC,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Wrigley Field,669203,506433,519299,592885,669374,475253,541645,553882,456715,592325,606115,592178,519203,595879,656941,575929,518792,605170,543401,664023
2020-07-25,06:21:06,MIL@CHC,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Wrigley Field,669203,506433,519299,592885,669374,475253,541645,553882,456715,592325,606115,592178,519203,595879,656941,575929,518792,605170,543401,664023
2020-07-25,06:21:06,MIL@CHC,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Wrigley Field,669203,506433,519299,592885,669374,475253,541645,553882,456715,592325,606115,592178,519203,595879,656941,575929,518792,605170,543401,664023
2020-07-25,06:21:06,MIL@CHC,0,1,2,3,4,5,6,7,8,9,10,11,Nan,Wrigley Field,669203,506433,519299,592885,669374,475253,541645,553882,456715,592325,606115,592178,519203,595879,656941,575929,518792,605170,543401,664023
